╠Ю╨е,и╚тС,╦Ы╣ы,гциЫ,нфюМ,фЙ╡©,╢╔╦п,╨ц╧о
1,гЮбл,РИкУ,цфоЛ,гЕнЗ,╟╪ощ,с╡╩╛,йг
2,нз╨з,РИкУ,Ёацф,гЕнЗ,╟╪ощ,с╡╩╛,йг
3,нз╨з,РИкУ,цфоЛ,гЕнЗ,╟╪ощ,с╡╩╛,йг
4,гЮбл,РИкУ,Ёацф,гЕнЗ,╟╪ощ,с╡╩╛,йг
5,гЁ╟в,РИкУ,цфоЛ,гЕнЗ,╟╪ощ,с╡╩╛,йг
6,гЮбл,итх╕,цфоЛ,гЕнЗ,ит╟╪,хМП╓,йг
7,нз╨з,итх╕,цфоЛ,дё╨Щ,ит╟╪,хМП╓,йг
8,нз╨з,итх╕,цфоЛ,гЕнЗ,ит╟╪,с╡╩╛,йг
9,нз╨з,итх╕,Ёацф,дё╨Щ,ит╟╪,с╡╩╛,╥Я
10,гЮбл,с╡м╕,Ёацф,гЕнЗ,╟╪ощ,хМП╓,╥Я
11,гЁ╟в,с╡м╕,Ёацф,гЕнЗ,╟╪ощ,с╡╩╛,╥Я
12,гЁ╟в,РИкУ,цфоЛ,гЕнЗ,╟╪ощ,хМП╓,╥Я
13,гЮбл,итх╕,цфоЛ,дё╨Щ,╟╪ощ,с╡╩╛,╥Я
14,гЁ╟в,итх╕,Ёацф,дё╨Щ,╟╪ощ,с╡╩╛,╥Я
15,нз╨з,итх╕,цфоЛ,гЕнЗ,ит╟╪,хМП╓,╥Я
16,гЁ╟в,РИкУ,цфоЛ,гЕнЗ,╟╪ощ,с╡╩╛,╥Я
17,гЮбл,РИкУ,Ёацф,дё╨Щ,ит╟╪,с╡╩╛,╥Я
